work_id,title,publish_year
5160845385735215482,A Clash of Kings,2006
16995703645787942843,The Boy Who Was Raised as a Dog: And Other Stories from a Child Psychiatrist's Notebook,2017
5809305122371005689,How High We Go in the Dark,2023
11702032935986688048,The Wall of Winnipeg and Me,1973
5380481251456924222,The Deepest Well: Healing the Long-Term Effects of Childhood Adversity,2003
12131984166415829933,The Good Girl,2011
1855555696993888083,A Monster Calls,1982
3143347711929066232,Arminius and Thusnelda Versus Rome,1954
9479546467508955458,Alice's Adventures in Wonderland,1959
1302199343211617435,The Great Alone,2001
10803223363975850925,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",1961
6740120290730667128,As Above,1955
453569937030241237,Dead as a Doornail,1971
7133374122093386959,Just One Day,1983
13325023438703189335,"Guns, Germs, and Steel: The Fates of Human Societies",2009
3243498920033532278,Nobody's Baby But Mine,1978
1552368864689423266,The Lucky One,1988
5037293043080424229,Kitchen Confidential: Adventures in the Culinary Underbelly,1969
15922005837131126333,Catch-22,2009
8435814629987807876,Predictably Irrational: The Hidden Forces That Shape Our Decisions,1972
13451204784988074757,The Pragmatistâs Guide to Crafting Religion: A playbook for sculpting cultures that overcome demographic collapse & facilitate long-term human flourishing,1967
8496105838436305352,The Iron Legends,1967
16726431416181329297,The Library Book,1974
7294198740318263616,Homage to Catalonia,2004
14046493740762094352,The Dead Zone,1959
3070557807758575608,In the Blood,1960
11982724627342728005,Last Exit to Brooklyn,2011
17116562526161981078,Empire of Storms,1997
7226955172349328795,The Undertaking of Hart and Mercy,1999
1760839719399167656,The Client,1962
11856812360857916585,Train Dreams,1962
9652944655762327142,Woman of Light,2023
13323358093281027270,The Lazarus Men,1974
11127055229179677755,This Lullaby,1994
2643626751084048337,Dreamfever,1964
5447606993413662580,"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",1989
644548858654827908,Night Angels,1997
17716158785629615336,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",1997
8830126419229923937,Veronika Decides to Die,1973
5140404415423874188,Persuasion,1981
11083348857635724275,1st to Die,2005
13300827519922760151,The Yiddish Policemen's Union,2006
18239803693269316664,Uprooted,1984
12679019696671608122,A Forgotten Kitten,1985
13541950949384562484,Darkly Dreaming Dexter,1990
518083529698044555,Possession,1999
922497219439340665,Bed of Roses,1962
10034886224983408270,Ethan Frome,1960
9350859107536949104,The Witches,2002
923892292334905783,The Midnight Line,2006
2287599988750762644,The Information,2002
809018730824491226,Austenland,1988
12197897770358917997,Clown Girl,2004
7115537917979845967,Key of Light,1963
13741977901032200068,"Botanical Shakespeare: An Illustrated Compendium of All the Flowers, Fruits, Herbs, Trees, Seeds, and Grasses Cited by the World's Greatest Playwright",1998
11052077802991125621,Seduction and Snacks,1980
14037049343377313588,I'm With You,1992
227274419959847476,Wizard's First Rule,1992
6952051097802944250,The Bible: Enter Here: Bringing God's Word to Life for Today's Teens,2003
12971098385593542215,Prodigal Summer,1951
15578657647487498592,Murder on the Naval Base,2002
14912475805442344303,Not That Bad: Dispatches from Rape Culture,2018
18049977592473951148,Beneath a Scarlet Sky,1987
17270485623386067785,Lola and the Boy Next Door,1991
1284730252099179563,Glue,1971
10315718413235421947,America (The Book): A Citizen's Guide to Democracy Inaction,1972
12141463908408849034,From Dead to Worse,1987
8477853891330298413,Stepping Beyond Intention,1999
10044797404456227671,The Mustachioed Woman of Shanghai,1970
6106429707214721713,Garlic and Sapphires: The Secret Life of a Critic in Disguise,1951
16008700233270668755,The Moonstone,1999
10306017755587597277,Dreams of Winter,1963
524927257258828053,A Street Cat Named Bob: How One Man and His Cat Found Hope on the Streets,2002
12418369928112825077,Tempt Me at Twilight,1995
6532913361457506433,V for Vendetta,2014
15820423988443357534,"Thinking, Fast and Slow",1960
767195862752244070,If I Wake,1968
1039183866124785795,Lost in the Crowd,2023
8520113512769664574,The Invention of Hugo Cabret,1951
5037952757771684893,Captured Lies,2019
3818416730874332936,Frankie the Ferret,1953
13461909429361202825,Karna's Wheel,1979
8146037867092758318,Harper Lee's To Kill a Mockingbird,1965
14400041532914498828,Dream a Little Dream,1960
17615127480179202771,Slave,2023
2642733083920136123,The Truth About Forever,2022
7128118930969256951,Crossroads and the Dominion of Four,1999
3260824567639974724,It's in His Kiss,1988
3652295927219138224,Schindler's List,1977
4023761641438864243,Under the Dome,2000
15848795405339230602,"My Sister, the Serial Killer",1993
17294615335811404319,Needful Things,1990
6974351617796748268,Ten Tiny Breaths,1987
9007281145457081118,"I'd Tell You I Love You, But Then I'd Have to Kill You",1971
12776284108449986077,The Woman in Cabin 10,1979
7996698457859795409,Ham on Rye,1971
2919202329116997525,My Grandmother's Hands: Racialized Trauma and the Mending of Our Bodies and Hearts,1962
2916580723722321903,Shanghai Girls,1981
10175544743038867002,Code Name Verity,2008
14807310479107371511,Joyland,1969
8899141937504221908,Love on the Line,1975
13323777204950364297,The Chamber,1988
15884064419257633607,Cress,1968
6394563567677454153,Raincheck,1971
7011753113879991533,A Hunger Like No Other,1992
11838583843049051540,Night Film,1990
10661901033060923929,To Tame a Highland Warrior,1986
11476337433898279159,The Raven Boys,1964
14883534595015761603,"The Diamond Age: Or, a Young Lady's Illustrated Primer",2020
16109665191103970760,Trigger Warning: Short Fictions and Disturbances,1967
11978358175637302384,Triple Deception,2024
12722500702470089786,Falling For You,2004
10363012877932972314,Betrayal In Blue,1979
17751799732126185919,The Green Mile,1996
78811146209771081,House Rules,2008
8144262884462983192,The Big Sleep,2016
3669573345846283937,Shot Down: The True Story of Pilot Howard Snyder and the Crew of the B-17 Susan Ruth,2002
16561187490062160373,Deception Point,1983
11040567028469557958,Narrative of the Life of Frederick Douglass,1984
11825415272244814081,Dead to the World,1995
11082447279000909013,One Good Earl Deserves a Lover,1967
1753310534596844569,These Broken Stars,2024
7676604792866022331,Carling,1967
14497763075816051379,High-Rise,1996
12436163757516265415,Piercing,1967
8585290693173888596,The Biographies of Jesus' Apostles: Ambassadors in Chains,1956
3682422328036804302,"Nobody Asked Me, But ....",1990
18106122979632733146,Big Sur,1999
6027928909709594271,Dark Witch,2020
15804861483961681244,Is Everyone Hanging Out Without Me?,2024
17374395994203360299,Orange Is the New Black,1989
5866452214782031627,Fatal Identity,1976
5856170540118534213,The DUFF: Designated Ugly Fat Friend,1986
10314462700625407290,Consider the Lobster and Other Essays,2014
11713699799709151131,Still Life,1951
16311467342835865655,Little Fires Everywhere,1974
2369487035548033412,A Year in Provence,1986
8896484041551390079,"Dodging Satan: My Irish/Italian, Sometimes Awesome, But Mostly Creepy, Childhood",1979
9785598922471969210,Journey to the Center of the Earth,2002
1043530393417908911,Then Came You,1958
6314759831538123201,The Alchemists of Loom,1973
5645110240807015823,The Illustrated Man,1996
3650477987964344220,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,2013
17267277333413851999,Born in Ice,2022
430215509968860792,The Dinner,1951
16786145945390804129,Broken Pieces,1961
6443719633905724900,The Case of the Displaced Detective: The Arrival,1961
14786013529028361743,The Black Swan: The Impact of the Highly Improbable,2024
15445515709202603333,The Duke and I,1969
1394393987607657167,A Canticle for Leibowitz,2009
1768225420355818168,Unscrupulous,2015
960328175827302789,The Case of the Displaced Detective: At Speed,1957
1695822221923902622,Eleven Scandals to Start to Win a Duke's Heart,2007
17751051712172108963,The Heiress Effect,1953
2079290473755003395,The Boy Who Sneaks in My Bedroom Window,1957
4088344266329161150,Coriolanus,1979
15502308076993815542,"Red, White & Royal Blue",1951
14315586782417419425,The Edge of Never,2002
13689491347493255593,A Christmas Proposal,2014
1914782506569084189,Rules of Attraction,2011
14474914282013389820,The Lost World,1997
1250534071067358229,Voyager,1956
5963086337918380878,Africa's Child,2016
7526095314933193971,"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are",1974
12251603821536109544,The Beauty Myth,1997
1453586338515156784,Any Duchess Will Do,1973
1573514565529986589,Making You Mine,1967
5018951430421148220,Of Human Bondage,1963
9103266327803511987,Meditations,2016
11268691437255338197,Red Zone,2022
13744070664400742413,Walk Two Moons,2008
1775646609122575380,Smooth Talking Stranger,1985
6808004629046364044,The End of Your Life Book Club,2010
1738088953845568878,A Grief Observed,1987
4834440603378082782,Crossing the Line,1956
7024374442546548460,Siege and Storm,1970
12111520769820288605,12 Rules for Life: An Antidote to Chaos,1976
13142938056084709568,Linger,2006
608619311824248199,DÃ©jÃ  Dead,1992
9414675758018183232,One Plus One,2020
2513966631513349620,The Shadow Crucible,1991
8332893533610343864,The Joy Luck Club,2001
2897815835899795713,Moneyball: The Art of Winning an Unfair Game,1999
6263802378268366935,Why We Sleep: Unlocking the Power of Sleep and Dreams,2017
5107553060703926968,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",1993
8767599562320692859,We Were Eight Years in Power: An American Tragedy,1971
17108259784447163640,Never Too Far,2005
14851490361650508897,The Well House,1996
7758124445901866523,Gabriel's Rapture,2004
15236831074862842474,Empire Falls,1968
16477700153173427816,The Well of Ascension,1964
18119620604723574199,Drive: The Surprising Truth About What Motivates Us,1954
9846978872188435112,4â3â2â1,1973
328965721240679533,Leonardo da Vinci,2018
13028437579880906263,A Doll's House,2008
14558689353641348121,Isla and the Happily Ever After,1987
1846031314674646609,BLACK FIRE: A nail-biting action thriller of suspense,1954
4617147591118126236,The Secret Life of Bees,2023
16600481573616690467,The Westing Game,2021
8908958023553260905,A Night Like This,1953
15258327020031886430,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,1974
1128285503743195835,Lift: Five Practices Great Managers Do Consistently: Raise Performance and Morale - See Your Employees Thrive,1995
5101432221949650504,Angels in America,2012
8216941510715002298,Stumbling on Happiness,2015
5327167980598932342,An Abundance of Katherines,2005
16119363271230752828,The Phantom Tollbooth,1987
18418817325832791302,The Forever War,1958
9982640680413486328,Quarantina,2011
8592666344332478369,Hard Times,1954
16650894008852421898,Jesusâ Son,1982
11959684220731160941,Light in August,2006
5035795684044644814,The Dex-Files,1988
8796500886070123990,Heart of a Dog,1956
18267696541320916364,Neither Here nor There: Travels in Europe,2022
853243527435258699,Fun Home: A Family Tragicomic,2012
348389486289905402,Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls,1957
14692002971002570813,A Court of Frost and Starlight,1966
14941661600554511059,The Queen of the Damned,2024
12061610921336524239,#Girlboss,1955
8716286331501928171,A Portrait of the Artist as a Young Man,2006
4248278381344734970,Bridget Jones: The Edge of Reason,1973
10391926720699050618,The Storyteller,1978
485948579430795126,The Orb of Truth,1988
7746113293950634002,Tell the Wolves I'm Home,2006
7813994020233707754,Amusing Ourselves to Death: Public Discourse in the Age of Show Business,1975
9995157719519712867,"A Higher Loyalty: Truth, Lies, and Leadership",1952
4811427670608397660,"The Man Who Loved Books Too Much: The True Story of a Thief, a Detective, and a World of Literary Obsession",1996
10730656362444355969,"""Look Here, Sir, What a Curious Bird"": Searching for Ali, Alfred Russel Wallace's Faithful Companion",1983
617298675383348616,Digital Fortress,2005
2516626541254104128,Nights in Rodanthe,1951
15885858756577096571,Lover Unbound,2015
1890590378214873249,Stage Fright,1967
17312865082506908199,Slouching Towards Bethlehem,2007
3190437199406288561,The Dispossessed: An Ambiguous Utopia,1992
4042323559095873925,The Name of the Star,2024
17282540378551242345,The Kiss of Deception,2009
6380959934007162923,Into the Wild,1970
8100104486021077495,Born in Shame,1958
12593651024640399499,Two for the Dough,2024
8876302287162208442,Then She Was Gone,1977
13414148165464270937,Switch: How to Change Things When Change Is Hard,1967
5973624952324411584,The Imperfectionists,1995
3219318448584686963,Sweet Dreams,1957
5478518856450582805,Are We Smart Enough to Know How Smart Animals Are?,1951
842769576920226784,The Soft Machine,1978
4865370504317151125,Money,2017
1846068905359802356,Moonwalking with Einstein: The Art and Science of Remembering Everything,1952
5246408284870619806,C is for Corpse,2004
15091820826943926995,Lover Mine,2014
17609217433774855261,Consequences,2006
5774737622098244338,A Short History of Nearly Everything,1958
7487720711988599080,One Day in the Life of Ivan Denisovich,2008
6644624368243950870,NOS4A2,2012
17508365266669166519,The Miserable Mill,1964
3055668557126834445,And the Ass Saw the Angel,1994
12604804295803018442,Gravity's Rainbow,1972
6901356717366958900,The Well House II: The Revenge,2008
14298214243230447708,Ramonst,2019
16543019870024212970,Xenocide,1961
8786349949035972800,A New Earth: Awakening to Your Life's Purpose,1950
3904953954007661011,Wool,1952
3290304641083685512,Glengarry Glen Ross,2010
9870127347879476635,As You Wish: Inconceivable Tales from the Making of The Princess Bride,1989
3998921446622208623,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,1982
11990797349461420968,Bloodlines,1955
17789518756209441465,An Enemy of the People,2004
17099780719195171381,All Creatures Great and Small,1971
17188230497016417572,Prey,2020
8670151669433887810,Seduced in the Dark,2011
14273750715867340640,Hiroshima,2021
7733296442306730340,The Crucible: A Play in Four Acts,1985
26168285620504982,Shrill: Notes from a Loud Woman,1963
10639399902480612694,Along Came a Spider,1959
16920272260067816251,The Girl with All the Gifts,1960
13083478991470223215,Winnie-the-Pooh,1980
13024577454434247526,What Happens in London,1980
18396343350128185131,The Visit: A Tragi-Comedy,2010
10719069399269711618,Physics of the Impossible,2007
16647197679813787890,Girl with a Pearl Earring,2019
7002795285102648242,Millennium Approaches,2003
3909168281766564907,The Omnivore's Dilemma: A Natural History of Four Meals,1970
10610423268535701904,True Grit,2016
10428453456227339245,Inkspell,1955
17717577037005093739,Seabiscuit: An American Legend,1973
7234290939053249180,Modern Romance,1953
11656317745765879999,The Lost Duke of Wyndham,1999
11389547921500228691,Chain Reaction,2024
3136672867473688794,Who is Audrey Wickersham?,2005
1416852333976894842,"Love, Love Me Do",1956
1465430859739294332,Twisted,1992
787830736013909611,The End of Miracles,1998
18026955620840925395,Broken Circle,2022
13983704684844163116,Ivanhoe,2016
7449709112924543283,The Psychopath Test: A Journey Through the Madness Industry,1997
16083860172713899098,The Falling of Love,1994
14979226161948111301,"Fallen Hopes, Taken Dreams",1979
10463440668737531216,Think Fast or Die,1970
10769657824242601688,All of the Rogers,1991
17951623195884449627,The Nanny Diaries,1992
8319333422891784646,A Taste of Peace,1966
16378313665182802831,Waiting for Godot,1998
9208690422943918446,Pigs in Heaven,1959
9272410692519959383,Granted,2011
12093046305853805767,Never Go With Your Gut: How Pioneering Leaders Make the Best Decisions and Avoid Business Disasters,1987
12084012285947567114,The IX,2017
14725702228838542267,Seduce Me at Sunrise,1975
6298471115394760404,The Hike,1951
17621110936936124402,Move the Sun,1976
10145020993125813498,The Glass Menagerie,1966
13051172990681476246,Our Town,1974
10295766473154041186,Long Day's Journey into Night,1953
15147572523470503981,Splintered Courage,2001
3686514641085294125,The Reptile Room,2000
13327021598360048604,On Deadly Grounds,2000
13930930384838565153,A Streetcar Named Desire,1994
12765018550849679865,The Wise Man's Fear,1988
7507929374321045848,"Love, Rosie",1970
12363878839789411940,Paula,2002
12549393415176379612,Devyn's Dilemma,1976
2427096806254200297,Travels with Charley: In Search of America,1955
382264773566427022,Edenbrooke,1959
17126701340885802064,My Story,1978
402605536358464059,Saving June,1959
13535701835495316118,White Collar Blackmail,1954
14454165630104899495,My Soul Belongs to You,1968
9852265120146608432,Feminism Is for Everybody: Passionate Politics,2022
5894291114072789261,Contact,1956
15194904814198750643,"The Pragmatist's Guide to Relationships: Ruthlessly Optimized Strategies for Dating, Sex, and Marriage",1963
8909919418275431163,Mystical Trash,2020
11840903164080538242,Blindness,2014
12521994332720579359,Before We Were Yours,1955
454132800814868653,The Immortalists,2000
17559999091919829016,Story of the Eye,1957
8667200684906158236,The Atlas Six,1982
15608425124192638436,A Long Way Gone: Memoirs of a Boy Soldier,1952
13391910529680084575,Night Pleasures,1994
5083631527918355840,The Dragon God,1996
13434828554912802988,Fire and Fury: Inside the Trump White House,2018
911973341928059579,Neil Patrick Harris: Choose Your Own Autobiography,1979
11215101123847037878,The Road to Little Dribbling: Adventures of an American in Britain,2018
16695508941824644764,Unblinded: One Manâs Courageous Journey Through Darkness to Sight,2013
13326339114953610624,Seveneves,1986
10659636781373117320,The Power of Habit: Why We Do What We Do in Life and Business,1996
8378965077813257790,Surviving Chaos: How I Found Peace at A Beach Bar,1969
6640262939325871934,The History Boys,1972
16328397259927574754,A Million Little Pieces,1986
14193835335744494123,Pericles,1996
4724592704149227722,The Local School,1979
12356494284037356904,Fortune's Pawn,1966
17255924144423419618,The Upside of Unrequited,1971
12838596284118139034,Endless Night,1959
17658225963289692475,Twelve Years a Slave,1968
11299641317798185746,Getting Things Done: The Art of Stress-Free Productivity,1950
2896841991836547388,Dune Messiah,1954
9043740725799216334,All's Well That Ends Well,1986
17970729020323244499,If on a Winter's Night a Traveler,2016
11117390053389515938,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,1982
545849079027947359,Stargirl,2013
2919502650492961917,The Secret History of Wonder Woman,1961
4982630880495786258,"One Summer: America, 1927",1979
6540981574489297895,The Righteous Mind: Why Good People Are Divided by Politics and Religion,1995
7346968614949057655,The Governess Affair,1961
8087002551170598801,Die Trying,2016
6931975463482570412,Babel-17,1966
6922004973153024292,"Always and Forever, Lara Jean",1982
17971366585779997272,The Complete Grimm's Fairy Tales,1988
2551463778973776660,Savor the Moment,2017
14002037918588652378,21 Lessons for the 21st Century,1954
4963973911657582536,The Interesting Narrative of the Life of Olaudah Equiano,1960
6238419172409031016,Landline,1994
6301580180184938872,The Highlander's Touch,2008
10833675727549842645,Dead Wake: The Last Crossing of the Lusitania,2023
2513969578222187686,We Are All Completely Beside Ourselves,1971
1782328407096536803,One Day,1955
7111828330331577002,Blood Song,1957
13419797188023500352,The Robber Bride,1964
5645120426754266414,The World Is Flat: A Brief History of the Twenty-first Century,1987
4822607351932006367,The Electric Kool-Aid Acid Test,1981
14426430574055778984,The Looming Tower: Al-Qaeda and the Road to 9/11,2003
10899883480405772331,The End of the Affair,1987
3141339205158099730,Look Me in the Eye: My Life with Asperger's,1964
7715782810342853248,August: Osage County,1970
1562670305779701790,Magyk,2019
15193763302269506490,Porcelain Keys,1969
11097504802791652127,Freaks I've Met,2009
14168290664546160766,You're Never Weird on the Internet,1954
2206436218502859832,Heart of the Sea,2002
2718673030635243580,A Ghostly Shade of Pale,1955
14733649332315728991,Caged,2011
5027797337986409560,True Believer,1960
15152120110575135471,A Bend in the Road,1976
11823272478154382846,The Covert Passive Aggressive Narcissist: Recognizing the Traits and Finding Healing After Hidden Emotional and Psychological Abuse,1998
6315675139954834208,Gray Mountain,2003
3780162729228276848,Mad Love,1950
14809223618195786227,The Tied Man,1958
15737197673289667936,Dubliners,1989
14749354337812627235,Redwall,1986
9775070184065873014,Agatha Raisin and the Walkers of Dembley,2025
17632068590393553680,Growth of the Soil,1953
13070328263354114703,The Valley of Horses,1951
8101433995302136591,Pretties,2021
11257610054986682848,Leaving Time,1972
2069042762040186254,The Grey Woods,1965
9877008496508215149,Geekerella,1983
1607472167792540228,The Hating Game,2016
9774822874174483682,Night Embrace,1981
16925427167290543634,Americanah,1965
780458600424062318,Ancient Truth,1968
14844089693374692708,When the children return,1957
5914790580515598051,Black Hawk Down: A Story of Modern War,1955
3844112102939073938,The Ragged Edge of Night,1958
4887585654259872000,Guards! Guards!,2009
17765664713855222090,Perdido Street Station,1967
15291467747394610747,"Of the Flame, Poems - Volume 15",1952
12088480063831738250,Our Souls at Night,1993
5635910267336181536,Shakespeare: The World as Stage,1994
5087775527577521899,Everything and a Happy Ending,1986
13411556230021291071,Still Missing,1975
1366914179145938325,The Maltese Falcon,1955
6371006965600037981,P.S. I Like You,2013
3496761681503103345,30 Pieces of Gold: Self Growth - How to use Inspirational Quotes Effectively.,1963
7573322697805489201,The Mothers,1998
13359276362660316681,The Expats,2015
360810833415277025,Patton: A Genius for War,2015
1234951747579312294,Vanished: True Stories from Families of Australian Missing Persons,1952
17545229321774009745,The Stranger in the Woods: The Extraordinary Story of the Last True Hermit,1964
11716823999903597188,When No One Is Watching,1987
16513696561155874777,What Alice Forgot,1989
18087641044892893822,The Fifth Discipline: The Art & Practice of The Learning Organization,2012
1434021503926452263,"Isaac's Storm: A Man, a Time, and the Deadliest Hurricane in History",1955
7316891635049537625,Abraham Lincoln: Vampire Hunter,1991
15981193607727273251,Second Foundation,2016
17713948123428111834,Double Indemnity,1988
12307333687738832261,Practical Magic,1984
9171749775306422146,Understanding Comics: The Invisible Art,1954
3577665980689557635,The Dragon Reborn,1975
17956822270505757487,My Brilliant Friend,1999
8725709223493628861,Ten Ways to Be Adored When Landing a Lord,1952
12851694311195623466,The Awakening,1968
12442126726643503802,Tartuffe,1992
11762310191170562526,Wishful Drinking,2017
17651106851299256119,Missoula: Rape and the Justice System in a College Town,1997
3076975529139659376,Oryx and Crake,1957
5242327719281561524,One Shot,1958
15297637837817260535,Don't Look Back,1950
3550042238864631723,Tiger's Curse,1993
3344669930229670179,Lick,1996
8112234429516007614,The Total Money Makeover: A Proven Plan for Financial Fitness,1964
12983600780112560719,The Chrysalids,1955
14285518285471164939,Becoming Queen,1970
4258777925974873890,Alanna: The First Adventure,1996
1184649859854153998,Long Bright River,1980
15354825124761272896,Carve the Mark,2012
6084845949090396557,The Blind Assassin,1979
12229004710415215373,Furiously Happy: A Funny Book About Horrible Things,1986
16141312163522569017,The Merchant of Venice,2010
7278739189691582241,Stillwell,2012
4989271747670219353,The Cuckoo's Calling,1998
19866612308637060,Second Chances,1987
9673071103360676052,Trickster's Choice,1980
3351203280326347417,"Cry, the Beloved Country",1985
9349608572582601762,People Who Eat Darkness: The True Story of a Young Woman Who Vanished from the Streets of Tokyo--and the Evil That Swallowed Her Up,1957
6768447166738120768,Born at Midnight,1953
18099403126400992031,Finders Keepers,2019
1239546255090577960,The Night Stalker,2001
16774691499744642786,Nobody's Fool,1978
7116071299459944179,Jurassic Park,1988
12336522121029998847,Sapiens: A Brief History of Humankind,1956
10576038009915532229,Lysistrata,1997
601852715278492437,Heartsick,2012
16959546808356049472,Put Me in the Zoo,1971
2829197640960656545,The Hand on the Wall,1980
4680949742297869247,Jewels of the Sun,1962
12428887231556365996,Loving Frank,1950
166513139328450887,The 39 Steps,1958
2226376002689749787,Secrets of a Summer Night,2014
15755922973007905287,The Three Musketeers,1954
5071255663286863825,"And the Band Played On: Politics, People, and the AIDS Epidemic",1953
1956390987222727440,The Calling,1968
5316339823932576619,Through the Ever Night,1994
